sgolota@tp.oil hits=60;bytes=270620904;duration=722959;first=1760436269.338;last=1760437521.603;url=speedtest.kyzylorda.telecom.kz.prod.hosts.ooklaserver.net;cache_hit=0;cache_bytes=0;arr_last=1760436273.536,1760436290.289,1760436290.309,1760436290.322,1760436290.328,1760436306.389,1760436306.389,1760436306.394,1760436306.396,1760437483.156
sgolota@tp.oil hits=53;bytes=53098070;duration=8538;first=1760437693.4;last=1760437785.111;url=rr1---sn-35153iuxa-53mz.googlevideo.com;cache_hit=0;cache_bytes=0;arr_last=1760437693.4,1760437693.403,1760437693.47,1760437693.502,1760437693.528,1760437693.594,1760437693.645,1760437693.678,1760437693.733,1760437693.817
sgolota@tp.oil hits=14;bytes=48222367;duration=132139;first=1760436269.349;last=1760437505.306;url=nur-st.astel.kz.prod.hosts.ooklaserver.net;cache_hit=0;cache_bytes=0;arr_last=1760436269.349,1760436290.317,1760436290.325,1760436290.33,1760436323.301,1760436326.082,1760436344.441,1760436344.447,1760436344.453,1760437483.169
sgolota@tp.oil hits=14;bytes=41622971;duration=127603;first=1760436269.358;last=1760437505.31;url=jzk-st10g.2day.kz.prod.hosts.ooklaserver.net;cache_hit=0;cache_bytes=0;arr_last=1760436269.358,1760436290.32,1760436290.327,1760436290.332,1760436323.309,1760436326.094,1760436344.443,1760436344.45,1760436344.454,1760437483.175
sgolota@tp.oil hits=13;bytes=38831106;duration=110495;first=1760436269.861;last=1760437505.311;url=speedtest.connect-s.kz.prod.hosts.ooklaserver.net;cache_hit=0;cache_bytes=0;arr_last=1760436269.861,1760436290.321,1760436290.332,1760436290.333,1760436323.311,1760436326.096,1760436344.444,1760436344.451,1760437483.177,1760437486.983
sgolota@tp.oil hits=4;bytes=28959698;duration=21084;first=1760423726.713;last=1760424207.471;url=release-assets.githubusercontent.com;cache_hit=0;cache_bytes=0;arr_last=1760423726.713,1760423896.974,1760423906.998,1760424207.471
sgolota@tp.oil hits=70;bytes=20854930;duration=126186;first=1760423681.627;last=1760444631.311;url=cloud.imgsmail.ru;cache_hit=0;cache_bytes=0;arr_last=1760438783.605,1760439083.679,1760439383.881,1760439988.929,1760440583.807,1760441183.846,1760441484.019,1760442083.976,1760442699.13,1760444631.311
sgolota@tp.oil hits=3;bytes=16026490;duration=19232;first=1760423701.683;last=1760435721.703;url=cloclo59.datacloudmail.ru;cache_hit=0;cache_bytes=0;arr_last=1760423701.683,1760424623.035,1760435721.703
sgolota@tp.oil hits=39;bytes=9653991;duration=34923;first=1760424547.412;last=1760434451.419;url=static.whatsapp.net;cache_hit=0;cache_bytes=0;arr_last=1760424547.414,1760424547.417,1760424547.418,1760424547.42,1760424552.977,1760424552.979,1760431946.217,1760431946.217,1760431946.219,1760434444.106
sgolota@tp.oil hits=77;bytes=9270803;duration=114602;first=1760413350.305;last=1760444636.081;url=www.google.com;cache_hit=0;cache_bytes=0;arr_last=1760423481.262,1760423501.308,1760423701.685,1760424537.938,1760431970.129,1760434418.277,1760435090.662,1760435727.586,1760437680.408,1760444635.103
